Country,Year,popsize,cases,incid,peak,peak_ever,Province,DataType
Anguilla,2015,14909,0,0,2015,2015.6,None,Not analysed
Anguilla,2016,14909,35,234.757529,2015.6,2015.6,None,Not analysed
Anguilla,2017,14909,11,73.78093769,2015,2015.9,None,Not analysed
Antigua.Barbuda,2015,102012,0,0,2015,2016.69,None,Confirmed and suspected
Antigua.Barbuda,2016,102012,478,468.5723248,2015.69,2016.69,None,Confirmed and suspected
Antigua.Barbuda,2017,102012,0,0,2015,2016.69,None,Confirmed and suspected
Argentina,2015,44271041,0,0,2015,2017.21,None,Confirmed and suspected
Argentina,2016,44271041,61,0.137787589,2015.35,2017.21,None,Confirmed and suspected
Argentina,2017,44271041,785,1.773168153,2015.21,2017.21,None,Confirmed and suspected
Aruba,2015,105264,0,0,2015,2017.1,None,Confirmed
Aruba,2016,105264,416,395.1968384,2015.13,2017.1,None,Confirmed
Aruba,2017,105264,645,612.745098,2015.1,2017.1,None,Confirmed
Bahamas,2015,395361,0,0,2015,2016.67,None,Confirmed and suspected
Bahamas,2016,395361,465,117.6140287,2015.67,2016.67,None,Confirmed and suspected
Bahamas,2017,395361,0,0,2015,2016.67,None,Confirmed and suspected
Barbados,2015,285719,0,0,2015,2016.08,None,Confirmed and suspected
Barbados,2016,285719,762,266.6955995,2015.08,2016.08,None,Confirmed and suspected
Barbados,2017,285719,10,3.499942251,2015,2016.08,None,Confirmed and suspected
Belize,2015,374681,0,0,2015,2017.12,None,Confirmed and suspected
Belize,2016,374681,887,236.7347157,2015.6,2017.12,None,Confirmed and suspected
Belize,2017,374681,511,136.3826829,2015.12,2017.12,None,Confirmed and suspected
Bolivia,2015,11051600,0,0,2015,2017.15,None,Confirmed and suspected
Bolivia,2016,11051600,641,5.800065149,2015.27,2017.15,None,Confirmed and suspected
Bolivia,2017,11051600,1114,10.07998842,2015.15,2017.15,None,Confirmed and suspected
British.Virgin.Islands,2015,31196,0,0,2015,2016.67,None,Not analysed
British.Virgin.Islands,2016,31196,89,285.2929863,2015.67,2016.67,None,Not analysed
British.Virgin.Islands,2017,31196,0,0,2015,2016.67,None,Not analysed
Cayman.Islands,2015,61559,0,0,2015,2016.67,None,Not analysed
Cayman.Islands,2016,61559,244,396.3677123,2015.67,2016.67,None,Not analysed
Cayman.Islands,2017,61559,12,19.49349405,2015.29,2016.67,None,Not analysed
Colombia,2015,49065615,0,0,2015,2016,None,Confirmed and suspected
Colombia,2016,49065615,98891,201.5484775,2015,2016,None,Confirmed and suspected
Colombia,2017,49065615,1216,2.478313988,2015.08,2016,None,Confirmed and suspected
Costa.Rica,2015,4905769,0,0,2015,2016.67,None,Confirmed and suspected
Costa.Rica,2016,4905769,7036,143.4229781,2015.67,2016.67,None,Confirmed and suspected
Costa.Rica,2017,4905769,870,17.73422271,2015,2016.67,None,Confirmed and suspected
Cuba,2015,11484636,0,0,2015,2015.56,None,Confirmed
Cuba,2016,11484636,0,0,2015,2015.56,None,Confirmed
Cuba,2017,11484636,0,0,2015,2015.56,None,Confirmed
Curacao,2015,160539,0,0,2015,2016.85,None,Not analysed
Curacao,2016,160539,3870,2410.629193,2015.85,2016.85,None,Not analysed
Curacao,2017,160539,0,0,2015,2016.85,None,Not analysed
Dominica,2015,73925,0,0,2015,2015,None,Not analysed
Dominica,2016,73925,0,0,2015,2015,None,Not analysed
Dominica,2017,73925,0,0,2015,2015,None,Not analysed
Dominican.Republic,2015,10766998,0,0,2015,2016.35,None,Confirmed and suspected
Dominican.Republic,2016,10766998,5301,49.233779,2015.35,2016.35,None,Confirmed and suspected
Dominican.Republic,2017,10766998,0,0,2015,2016.35,None,Confirmed and suspected
Ecuador,2015,16624858,0,0,2015,2016.46,None,Confirmed and suspected
Ecuador,2016,16624858,2640,15.87983488,2015.46,2016.46,None,Confirmed and suspected
Ecuador,2017,16624858,1893,11.38656342,2015.33,2016.46,None,Confirmed and suspected
El.Salvador,2015,6377853,0,0,2015,2016,None,Suspected
El.Salvador,2016,6377853,9593,150.411118,2015,2016,None,Suspected
El.Salvador,2017,6377853,16,0.250868121,2015.06,2016,None,Suspected
French.Guiana,2015,282731,0,0,2015,2016.31,None,Suspected
French.Guiana,2016,282731,10154,3591.399599,2015.31,2016.31,None,Suspected
French.Guiana,2017,282731,269,95.14344023,2015.1,2016.31,None,Suspected
Grenada,2015,107825,0,0,2015,2016.5,None,Confirmed and suspected
Grenada,2016,107825,437,405.2863436,2015.5,2016.5,None,Confirmed and suspected
Grenada,2017,107825,6,5.564572224,2015.15,2016.5,None,Confirmed and suspected
Guadeloupe,2015,449568,0,0,2015,2016.42,None,Suspected
Guadeloupe,2016,449568,30901,6873.487437,2015.42,2016.42,None,Suspected
Guadeloupe,2017,449568,66,14.6807602,2015.02,2016.42,None,Suspected
Guatemala,2015,16913503,0,0,2015,2016.08,None,Confirmed and suspected
Guatemala,2016,16913503,3860,22.82200204,2015.08,2016.08,None,Confirmed and suspected
Guatemala,2017,16913503,166,0.981464337,2015.1,2016.08,None,Confirmed and suspected
Guyana,2015,777859,0,0,2015,2016.08,None,Confirmed
Guyana,2016,777859,2170,278.9708675,2015.08,2016.08,None,Confirmed
Guyana,2017,777859,184,23.65467263,2015.1,2016.08,None,Confirmed
Haiti,2015,10981229,0,0,2015,2016.06,None,Suspected
Haiti,2016,10981229,2941,26.78206601,2015.06,2016.06,None,Suspected
Haiti,2017,10981229,0,0,2015,2016.06,None,Suspected
Honduras,2015,9265067,0,0,2015,2016.08,None,Confirmed and suspected
Honduras,2016,9265067,32197,347.5096295,2015.08,2016.08,None,Confirmed and suspected
Honduras,2017,9265067,171,1.845642347,2015.1,2016.08,None,Confirmed and suspected
Jamaica,2015,2890299,0,0,2015,2016.42,None,Confirmed and suspected
Jamaica,2016,2890299,6274,217.0709674,2015.42,2016.42,None,Confirmed and suspected
Jamaica,2017,2890299,55,1.902917311,2015.1,2016.42,None,Confirmed and suspected
Martinique,2015,384896,0,0,2015,2016.35,None,Suspected
Martinique,2016,384896,36502,9483.600765,2015.35,2016.35,None,Suspected
Martinique,2017,384896,38,9.872796807,2015.02,2016.35,None,Suspected
Nicaragua,2015,6217581,0,0,2015,2016.58,None,Suspected
Nicaragua,2016,6217581,4785,76.9591904,2015.58,2016.58,None,Suspected
Nicaragua,2017,6217581,204,3.281018776,2015.02,2016.58,None,Suspected
Panama,2015,4098587,0,0,2015,2017.02,None,Confirmed and suspected
Panama,2016,4098587,3917,95.56952189,2015.94,2017.02,None,Confirmed and suspected
Panama,2017,4098587,1228,29.96154528,2015.02,2017.02,None,Confirmed and suspected
Paraguay,2015,6811297,0,0,2015,2016.21,None,Confirmed and suspected
Paraguay,2016,6811297,334,4.90361821,2015.21,2016.21,None,Confirmed and suspected
Paraguay,2017,6811297,102,1.497512148,2015.02,2016.21,None,Confirmed and suspected
Peru,2015,32165485,0,0,2015,2017.25,None,Confirmed and suspected
Peru,2016,32165485,1807,5.617822955,2015.85,2017.25,None,Confirmed and suspected
Peru,2017,32165485,6073,18.88048633,2015.25,2017.25,None,Confirmed and suspected
Puerto.Rico,2015,3663131,0,0,2015,2016.6,None,Confirmed and suspected
Puerto.Rico,2016,3663131,52417,1430.934356,2015.6,2016.6,None,Confirmed and suspected
Puerto.Rico,2017,3663131,1333,36.38963499,2015,2016.6,None,Confirmed and suspected
St..Barthelemy,2015,0,0,0,2015,2016.58,None,Not analysed
St..Barthelemy,2016,0,991,0,2015.58,2016.58,None,Not analysed
St..Barthelemy,2017,0,8,0,2015.06,2016.58,None,Not analysed
St..Kitts.Nevis,2015,55345,0,0,2015,2016.87,None,Not analysed
St..Kitts.Nevis,2016,55345,582,1051.585509,2015.87,2016.87,None,Not analysed
St..Kitts.Nevis,2017,55345,0,0,2015.02,2016.87,None,Not analysed
St..Lucia,2015,0,0,0,2015,2016.83,None,Not analysed
St..Lucia,2016,0,0,0,2015.83,2016.83,None,Not analysed
St..Lucia,2017,0,0,0,2015,2016.83,None,Not analysed
St..Martin.Maarten,2015,25398,0,0,2015,2016.73,None,Not analysed
St..Martin.Maarten,2016,25398,3215,12658.47705,2015.73,2016.73,None,Not analysed
St..Martin.Maarten,2017,25398,60,236.2390739,2015,2016.73,None,Not analysed
St..Vincent.Grenadines,2015,109897,0,0,2015,2016.56,None,Confirmed and suspected
St..Vincent.Grenadines,2016,109897,565,514.1177648,2015,2016.56,None,Confirmed and suspected
St..Vincent.Grenadines,2017,109897,0,0,2015,2016.56,None,Confirmed and suspected
Suriname,2015,563402,0,0,2015,2016,None,Confirmed and suspected
Suriname,2016,563402,3309,587.3248586,2015.5,2016,None,Confirmed and suspected
Suriname,2017,563402,18,3.194876837,2015.02,2016,None,Confirmed and suspected
Trinidad.Tobago,2015,1369125,0,0,2015,2016.6,None,Confirmed
Trinidad.Tobago,2016,1369125,656,47.91381357,2015.6,2016.6,None,Confirmed
Trinidad.Tobago,2017,1369125,1,0.07303935,2015,2016.6,None,Confirmed
Turks.Caicos,2015,35446,0,0,2015,2016.56,None,Not analysed
Turks.Caicos,2016,35446,197,555.7749817,2015.56,2016.56,None,Not analysed
Turks.Caicos,2017,35446,1,2.8211928,2015,2016.56,None,Not analysed
US.Virgin.Islands,2015,104901,0,0,2015,2016.58,None,Suspected
US.Virgin.Islands,2016,104901,2002,1908.466078,2015,2016.58,None,Suspected
US.Virgin.Islands,2017,104901,59,56.24350578,2015.17,2016.58,None,Suspected
Venezuela,2015,31977065,0,0,2015,2016.62,None,Suspected
